198.235.24.82 - - [25/May/2026:00:02:22 +0000] "GET / HTTP/1.1" 401 139
54.198.0.237 - - [25/May/2026:02:15:06 +0000] "GET /env HTTP/1.1" 401 119
54.198.0.237 - - [25/May/2026:02:15:06 +0000] "GET /env.js HTTP/1.1" 401 122
54.198.0.237 - - [25/May/2026:02:15:06 +0000] "GET /env.json HTTP/1.1" 401 124
54.198.0.237 - - [25/May/2026:02:15:06 +0000] "GET /app/.env HTTP/1.1" 401 124
54.198.0.237 - - [25/May/2026:02:15:06 +0000] "GET /src/.env HTTP/1.1" 401 124
54.198.0.237 - - [25/May/2026:02:15:07 +0000] "GET /config/.env HTTP/1.1" 401 127
54.198.0.237 - - [25/May/2026:02:15:07 +0000] "GET /backend/.env HTTP/1.1" 401 128
54.198.0.237 - - [25/May/2026:02:15:07 +0000] "GET /frontend/.env HTTP/1.1" 401 129
54.198.0.237 - - [25/May/2026:02:15:07 +0000] "GET /api/.env HTTP/1.1" 404 121
54.198.0.237 - - [25/May/2026:02:15:07 +0000] "GET /server/.env HTTP/1.1" 401 127
54.198.0.237 - - [25/May/2026:02:15:07 +0000] "GET /client/.env HTTP/1.1" 401 127
54.198.0.237 - - [25/May/2026:02:15:08 +0000] "GET /web/.env HTTP/1.1" 401 124
54.198.0.237 - - [25/May/2026:02:15:08 +0000] "GET /public/.env HTTP/1.1" 401 127
54.198.0.237 - - [25/May/2026:02:15:08 +0000] "GET /private/.env HTTP/1.1" 401 128
54.198.0.237 - - [25/May/2026:02:15:08 +0000] "GET /var/.env HTTP/1.1" 401 124
54.198.0.237 - - [25/May/2026:02:15:08 +0000] "GET /docker-compose.yml HTTP/1.1" 401 134
54.198.0.237 - - [25/May/2026:02:15:08 +0000] "GET /docker-compose.yaml HTTP/1.1" 401 135
54.198.0.237 - - [25/May/2026:02:15:09 +0000] "GET /docker-compose.override.yml HTTP/1.1" 401 143
54.198.0.237 - - [25/May/2026:02:15:09 +0000] "GET /docker-compose.dev.yml HTTP/1.1" 401 138
54.198.0.237 - - [25/May/2026:02:15:09 +0000] "GET /docker-compose.prod.yml HTTP/1.1" 401 139
54.198.0.237 - - [25/May/2026:02:15:09 +0000] "GET /config.js HTTP/1.1" 401 125
54.198.0.237 - - [25/May/2026:02:15:09 +0000] "GET /config.json HTTP/1.1" 401 127
54.198.0.237 - - [25/May/2026:02:15:09 +0000] "GET /settings.js HTTP/1.1" 401 127
54.198.0.237 - - [25/May/2026:02:15:09 +0000] "GET /settings.json HTTP/1.1" 401 129
54.198.0.237 - - [25/May/2026:02:15:10 +0000] "GET /secrets.json HTTP/1.1" 401 128
54.198.0.237 - - [25/May/2026:02:15:10 +0000] "GET /credentials.json HTTP/1.1" 401 132
54.198.0.237 - - [25/May/2026:02:15:10 +0000] "GET /app.js HTTP/1.1" 401 122
54.198.0.237 - - [25/May/2026:02:15:10 +0000] "GET /main.js HTTP/1.1" 401 123
54.198.0.237 - - [25/May/2026:02:15:10 +0000] "GET /index.js HTTP/1.1" 401 124
54.198.0.237 - - [25/May/2026:02:15:10 +0000] "GET /server.js HTTP/1.1" 401 125
54.198.0.237 - - [25/May/2026:02:15:10 +0000] "GET /bundle.js HTTP/1.1" 401 125
54.198.0.237 - - [25/May/2026:02:15:11 +0000] "GET /app.bundle.js HTTP/1.1" 401 129
54.198.0.237 - - [25/May/2026:02:15:11 +0000] "GET /main.bundle.js HTTP/1.1" 401 130
54.198.0.237 - - [25/May/2026:02:15:11 +0000] "GET /vendor.js HTTP/1.1" 401 125
54.198.0.237 - - [25/May/2026:02:15:11 +0000] "GET /chunk.js HTTP/1.1" 401 124
54.198.0.237 - - [25/May/2026:02:15:11 +0000] "GET /static/js/main.js HTTP/1.1" 401 133
54.198.0.237 - - [25/May/2026:02:15:12 +0000] "GET /static/js/app.js HTTP/1.1" 401 132
54.198.0.237 - - [25/May/2026:02:15:12 +0000] "GET /static/js/bundle.js HTTP/1.1" 401 135
54.198.0.237 - - [25/May/2026:02:15:12 +0000] "GET /dist/main.js HTTP/1.1" 401 128
54.198.0.237 - - [25/May/2026:02:15:12 +0000] "GET /dist/app.js HTTP/1.1" 401 127
54.198.0.237 - - [25/May/2026:02:15:12 +0000] "GET /dist/bundle.js HTTP/1.1" 401 130
54.198.0.237 - - [25/May/2026:02:15:12 +0000] "GET /build/static/js/main.js HTTP/1.1" 401 139
54.198.0.237 - - [25/May/2026:02:15:12 +0000] "GET /assets/index.js HTTP/1.1" 401 131
54.198.0.237 - - [25/May/2026:02:15:12 +0000] "GET /assets/app.js HTTP/1.1" 401 129
54.198.0.237 - - [25/May/2026:02:15:13 +0000] "GET /_next/static/chunks/main.js HTTP/1.1" 401 143
54.198.0.237 - - [25/May/2026:02:15:13 +0000] "GET /_next/static/chunks/app.js HTTP/1.1" 401 142
54.198.0.237 - - [25/May/2026:02:15:13 +0000] "GET /js/app.js HTTP/1.1" 401 125
54.198.0.237 - - [25/May/2026:02:15:13 +0000] "GET /js/main.js HTTP/1.1" 401 126
54.198.0.237 - - [25/May/2026:02:15:13 +0000] "GET /settings.py HTTP/1.1" 401 127
54.198.0.237 - - [25/May/2026:02:15:13 +0000] "GET /config.py HTTP/1.1" 401 125
54.198.0.237 - - [25/May/2026:02:15:14 +0000] "GET /secrets.py HTTP/1.1" 401 126
54.198.0.237 - - [25/May/2026:02:15:14 +0000] "GET /config/secrets.yml HTTP/1.1" 401 134
54.198.0.237 - - [25/May/2026:02:15:14 +0000] "GET /config/master.key HTTP/1.1" 401 133
54.198.0.237 - - [25/May/2026:02:15:14 +0000] "GET /wp-config.php.bak HTTP/1.1" 401 133
54.198.0.237 - - [25/May/2026:02:15:14 +0000] "GET /wp-config.php.old HTTP/1.1" 401 133
54.198.0.237 - - [25/May/2026:02:15:14 +0000] "GET /wp-config.php.save HTTP/1.1" 401 134
54.198.0.237 - - [25/May/2026:02:15:14 +0000] "GET /wp-config.php.txt HTTP/1.1" 401 133
54.198.0.237 - - [25/May/2026:02:15:15 +0000] "GET /wp-config.php~ HTTP/1.1" 401 130
54.198.0.237 - - [25/May/2026:02:15:15 +0000] "GET /config/app.php HTTP/1.1" 401 130
54.198.0.237 - - [25/May/2026:02:15:15 +0000] "GET /application.properties HTTP/1.1" 401 138
54.198.0.237 - - [25/May/2026:02:15:15 +0000] "GET /application.yml HTTP/1.1" 401 131
54.198.0.237 - - [25/May/2026:02:15:15 +0000] "GET /application.yaml HTTP/1.1" 401 132
54.198.0.237 - - [25/May/2026:02:15:15 +0000] "GET /application-dev.properties HTTP/1.1" 401 142
54.198.0.237 - - [25/May/2026:02:15:15 +0000] "GET /application-prod.properties HTTP/1.1" 401 143
54.198.0.237 - - [25/May/2026:02:15:16 +0000] "GET /appsettings.json HTTP/1.1" 401 132
54.198.0.237 - - [25/May/2026:02:15:16 +0000] "GET /appsettings.Development.json HTTP/1.1" 401 144
54.198.0.237 - - [25/May/2026:02:15:16 +0000] "GET /appsettings.Production.json HTTP/1.1" 401 143
54.198.0.237 - - [25/May/2026:02:15:16 +0000] "GET /config.yaml HTTP/1.1" 401 127
54.198.0.237 - - [25/May/2026:02:15:16 +0000] "GET /config.yml HTTP/1.1" 401 126
54.198.0.237 - - [25/May/2026:02:15:16 +0000] "GET /config.toml HTTP/1.1" 401 127
54.198.0.237 - - [25/May/2026:02:15:16 +0000] "GET /serverless.yml HTTP/1.1" 401 130
54.198.0.237 - - [25/May/2026:02:15:17 +0000] "GET /serverless.yaml HTTP/1.1" 401 131
54.198.0.237 - - [25/May/2026:02:15:17 +0000] "GET /config/production.json HTTP/1.1" 401 138
54.198.0.237 - - [25/May/2026:02:15:17 +0000] "GET /config/development.json HTTP/1.1" 401 139
54.198.0.237 - - [25/May/2026:02:15:17 +0000] "GET /config/default.json HTTP/1.1" 401 135
54.198.0.237 - - [25/May/2026:02:15:17 +0000] "GET /config/local.json HTTP/1.1" 401 133
54.198.0.237 - - [25/May/2026:02:15:17 +0000] "GET /conf/settings.json HTTP/1.1" 401 134
54.198.0.237 - - [25/May/2026:02:15:18 +0000] "GET /data/config.json HTTP/1.1" 401 132
54.198.0.237 - - [25/May/2026:02:15:18 +0000] "GET /actuator/env HTTP/1.1" 401 128
54.198.0.237 - - [25/May/2026:02:15:18 +0000] "GET /actuator/configprops HTTP/1.1" 401 136
54.198.0.237 - - [25/May/2026:02:15:20 +0000] "GET /api/config HTTP/1.1" 500 135
54.198.0.237 - - [25/May/2026:02:15:20 +0000] "GET /api/settings HTTP/1.1" 500 137
54.198.0.237 - - [25/May/2026:02:15:20 +0000] "GET /api/env HTTP/1.1" 500 132
54.198.0.237 - - [25/May/2026:02:15:21 +0000] "GET /backup/.env HTTP/1.1" 401 127
54.198.0.237 - - [25/May/2026:02:15:21 +0000] "GET /backups/.env HTTP/1.1" 401 128
54.198.0.237 - - [25/May/2026:02:15:21 +0000] "GET /old/.env HTTP/1.1" 401 124
54.198.0.237 - - [25/May/2026:02:15:21 +0000] "GET /temp/.env HTTP/1.1" 401 125
54.198.0.237 - - [25/May/2026:02:15:21 +0000] "GET /tmp/.env HTTP/1.1" 401 124
54.198.0.237 - - [25/May/2026:02:15:22 +0000] "GET /.streamlit/secrets.toml HTTP/1.1" 401 139
54.198.0.237 - - [25/May/2026:02:15:22 +0000] "GET /root/.streamlit/secrets.toml HTTP/1.1" 401 144
54.198.0.237 - - [25/May/2026:02:15:22 +0000] "GET /root/.aws/credentials HTTP/1.1" 401 137
54.198.0.237 - - [25/May/2026:02:15:22 +0000] "GET /home/ubuntu/.aws/credentials HTTP/1.1" 401 144
54.198.0.237 - - [25/May/2026:02:15:22 +0000] "GET /home/ec2-user/.aws/credentials HTTP/1.1" 401 146
54.198.0.237 - - [25/May/2026:02:15:22 +0000] "GET /home/node/.aws/credentials HTTP/1.1" 401 142
54.198.0.237 - - [25/May/2026:02:15:22 +0000] "GET /terraform.tfvars HTTP/1.1" 401 132
54.198.0.237 - - [25/May/2026:02:15:23 +0000] "GET /terraform.tfstate HTTP/1.1" 401 133
54.198.0.237 - - [25/May/2026:02:15:23 +0000] "GET /ecosystem.config.js HTTP/1.1" 401 135
54.198.0.237 - - [25/May/2026:02:15:23 +0000] "GET /secrets.yaml HTTP/1.1" 401 128
198.235.24.49 - - [25/May/2026:02:27:40 +0000] "GET / HTTP/1.0" 401 105
45.82.78.105 - - [25/May/2026:02:41:13 +0000] "-" 400 435
45.82.78.105 - - [25/May/2026:02:41:24 +0000] "-" 400 435
45.82.78.105 - - [25/May/2026:02:41:24 +0000] "GET / HTTP/1.1" 401 139
45.131.155.110 - - [25/May/2026:02:41:28 +0000] "GET /favicon.ico HTTP/1.1" 401 289
157.245.161.230 - - [25/May/2026:03:05:52 +0000] "HEAD /actuator/heapdump HTTP/1.1" 401 -
65.49.1.10 - - [25/May/2026:03:07:59 +0000] "-" 400 435
157.245.161.230 - - [25/May/2026:03:17:27 +0000] "HEAD /actuator/heapdump HTTP/1.1" 401 -
193.176.31.153 - - [25/May/2026:04:11:46 +0000] "GET / HTTP/1.1" 401 140
185.223.235.6 - - [25/May/2026:04:11:46 +0000] "GET /favicon.ico HTTP/1.1" 401 148
3.145.77.57 - - [25/May/2026:04:16:24 +0000] "GET / HTTP/1.1" 401 140
3.145.77.57 - - [25/May/2026:04:16:57 +0000] "GET / HTTP/1.1" 401 140
3.145.77.57 - - [25/May/2026:04:18:34 +0000] "-" 400 435
157.245.161.230 - - [25/May/2026:04:19:23 +0000] "GET /actuator HTTP/1.1" 401 124
3.145.77.57 - - [25/May/2026:04:19:51 +0000] "-" 400 435
205.210.31.133 - - [25/May/2026:04:26:54 +0000] "GET / HTTP/1.1" 401 140
45.198.224.5 - - [25/May/2026:05:01:59 +0000] "GET /login HTTP/1.1" 500 153
157.245.161.230 - - [25/May/2026:05:02:47 +0000] "GET /actuator HTTP/1.1" 401 124
20.169.81.111 - - [25/May/2026:05:47:22 +0000] "-" 400 435
205.210.31.146 - - [25/May/2026:06:18:50 +0000] "-" 400 435
205.210.31.146 - - [25/May/2026:06:18:51 +0000] "-" 400 435
45.156.129.82 - - [25/May/2026:06:24:39 +0000] "GET / HTTP/1.1" 401 140
45.156.129.80 - - [25/May/2026:06:24:42 +0000] "POST /mcp HTTP/1.1" 401 142
45.156.129.80 - - [25/May/2026:06:24:42 +0000] "GET /sse HTTP/1.1" 401 141
45.156.129.82 - - [25/May/2026:06:24:42 +0000] "GET /favicon.ico HTTP/1.1" 401 149
127.0.0.1 - - [25/May/2026:07:03:36 +0000] "GET /api/ui/nav/categories HTTP/1.0" 200 43
127.0.0.1 - - [25/May/2026:07:03:36 +0000] "GET /api/ui/featured HTTP/1.0" 200 41
127.0.0.1 - - [25/May/2026:07:03:36 +0000] "GET /api/brands HTTP/1.0" 200 138
127.0.0.1 - - [25/May/2026:07:03:49 +0000] "OPTIONS /authenticate HTTP/1.0" 200 -
127.0.0.1 - - [25/May/2026:07:03:50 +0000] "POST /authenticate HTTP/1.0" 200 200
127.0.0.1 - - [25/May/2026:07:55:06 +0000] "OPTIONS /authenticate HTTP/1.0" 200 -
127.0.0.1 - - [25/May/2026:07:55:07 +0000] "POST /authenticate HTTP/1.0" 200 200
47.84.207.58 - - [25/May/2026:08:08:37 +0000] "GET / HTTP/1.1" 401 116
47.84.207.58 - - [25/May/2026:08:08:40 +0000] "GET / HTTP/1.1" 401 137
127.0.0.1 - - [25/May/2026:08:14:13 +0000] "GET /api/.env HTTP/1.0" 404 110
127.0.0.1 - - [25/May/2026:08:14:22 +0000] "GET /api/config HTTP/1.0" 500 124
127.0.0.1 - - [25/May/2026:08:14:22 +0000] "GET /api/settings HTTP/1.0" 500 126
127.0.0.1 - - [25/May/2026:08:14:22 +0000] "GET /api/env HTTP/1.0" 500 121
127.0.0.1 - - [25/May/2026:08:21:12 +0000] "GET /api/ui/nav/categories HTTP/1.0" 200 43
127.0.0.1 - - [25/May/2026:08:21:13 +0000] "GET /api/brands HTTP/1.0" 200 138
127.0.0.1 - - [25/May/2026:08:21:13 +0000] "GET /api/ui/featured HTTP/1.0" 200 41
127.0.0.1 - - [25/May/2026:08:21:17 +0000] "POST /authenticate HTTP/1.0" 200 160
127.0.0.1 - - [25/May/2026:08:21:24 +0000] "POST /authenticate HTTP/1.0" 200 160
127.0.0.1 - - [25/May/2026:08:21:31 +0000] "POST /authenticate HTTP/1.0" 200 151
127.0.0.1 - - [25/May/2026:08:21:59 +0000] "POST /authenticate HTTP/1.0" 200 160
127.0.0.1 - - [25/May/2026:08:22:14 +0000] "GET /api/ui/featured HTTP/1.0" 200 41
127.0.0.1 - - [25/May/2026:08:22:14 +0000] "GET /api/ui/nav/categories HTTP/1.0" 200 43
127.0.0.1 - - [25/May/2026:08:22:14 +0000] "GET /api/brands HTTP/1.0" 200 138
127.0.0.1 - - [25/May/2026:08:22:47 +0000] "POST /authenticate HTTP/1.0" 200 160
127.0.0.1 - - [25/May/2026:08:24:35 +0000] "GET /api/listing/items HTTP/1.0" 200 38
127.0.0.1 - - [25/May/2026:08:24:54 +0000] "GET /api/ui/nav/categories HTTP/1.0" 200 43
127.0.0.1 - - [25/May/2026:08:24:54 +0000] "GET /api/listing/items HTTP/1.0" 200 38
127.0.0.1 - - [25/May/2026:08:25:07 +0000] "GET /api/ui/featured HTTP/1.0" 200 41
127.0.0.1 - - [25/May/2026:08:25:07 +0000] "GET /api/brands HTTP/1.0" 200 138
79.124.40.174 - - [25/May/2026:08:26:09 +0000] "GET /?XDEBUG_SESSION_START=phpstorm HTTP/1.1" 401 140
127.0.0.1 - - [25/May/2026:08:26:24 +0000] "POST /authenticate HTTP/1.0" 200 160
5.61.209.126 - - [25/May/2026:08:39:50 +0000] "GET /SDK/webLanguage HTTP/1.1" 401 157
127.0.0.1 - - [25/May/2026:08:53:06 +0000] "GET /api/ui/nav/categories HTTP/1.1" 200 64
127.0.0.1 - - [25/May/2026:08:53:06 +0000] "GET /api/brands HTTP/1.1" 200 159
127.0.0.1 - - [25/May/2026:08:53:06 +0000] "GET /api/ui/featured HTTP/1.1" 200 62
127.0.0.1 - - [25/May/2026:08:53:08 +0000] "POST /authenticate HTTP/1.1" 200 181
79.124.40.174 - - [25/May/2026:08:56:26 +0000] "GET /actuator/gateway/routes HTTP/1.1" 401 157
127.0.0.1 - - [25/May/2026:09:01:25 +0000] "POST /authenticate HTTP/1.1" 200 181
127.0.0.1 - - [25/May/2026:09:01:45 +0000] "POST /authenticate HTTP/1.1" 200 181
127.0.0.1 - - [25/May/2026:09:27:06 +0000] "POST /authenticate HTTP/1.1" 200 181
127.0.0.1 - - [25/May/2026:09:27:13 +0000] "POST /authenticate HTTP/1.1" 200 172
127.0.0.1 - - [25/May/2026:09:27:17 +0000] "POST /authenticate HTTP/1.1" 400 93
45.198.224.12 - - [25/May/2026:09:40:49 +0000] "CONNECT google.com:443 HTTP/1.1" 400 435
8.208.9.215 - - [25/May/2026:09:58:29 +0000] "GET / HTTP/1.0" 401 105
8.208.9.215 - - [25/May/2026:09:58:29 +0000] "GET / HTTP/1.1" 401 289
8.208.9.215 - - [25/May/2026:09:58:29 +0000] "GET /favicon.ico HTTP/1.1" 401 150
45.198.224.5 - - [25/May/2026:10:12:41 +0000] "GET /login HTTP/1.1" 500 154
71.6.232.27 - - [25/May/2026:10:30:32 +0000] "GET / HTTP/1.1" 401 139
213.160.77.129 - - [25/May/2026:11:13:39 +0000] "CONNECT api.myip.la:443 HTTP/1.1" 400 435
213.160.77.129 - - [25/May/2026:11:16:30 +0000] "CONNECT api.myip.la:443 HTTP/1.1" 400 435
20.169.105.90 - - [25/May/2026:11:24:37 +0000] "GET /hudson HTTP/1.1" 401 144
176.65.139.66 - - [25/May/2026:11:26:19 +0000] "GET /login HTTP/1.1" 500 153
190.14.253.35 - - [25/May/2026:12:00:01 +0000] "GET /manager/html HTTP/1.1" 401 145
127.0.0.1 - - [25/May/2026:12:11:29 +0000] "GET /api/brands HTTP/1.1" 403 31
127.0.0.1 - - [25/May/2026:12:11:29 +0000] "GET /api/ui/featured HTTP/1.1" 403 31
127.0.0.1 - - [25/May/2026:12:11:29 +0000] "GET /api/ui/nav/categories HTTP/1.1" 403 31
127.0.0.1 - - [25/May/2026:12:11:45 +0000] "GET /api/ui/nav/categories HTTP/1.1" 200 64
127.0.0.1 - - [25/May/2026:12:11:45 +0000] "GET /api/ui/featured HTTP/1.1" 200 62
127.0.0.1 - - [25/May/2026:12:11:45 +0000] "GET /api/brands HTTP/1.1" 200 159
127.0.0.1 - - [25/May/2026:12:11:48 +0000] "OPTIONS /authenticate HTTP/1.1" 200 -
127.0.0.1 - - [25/May/2026:12:11:48 +0000] "POST /authenticate HTTP/1.1" 200 221
127.0.0.1 - - [25/May/2026:12:21:16 +0000] "POST /authenticate HTTP/1.1" 200 239
127.0.0.1 - - [25/May/2026:12:21:17 +0000] "GET /api/distributors/dashboard HTTP/1.1" 200 360
127.0.0.1 - - [25/May/2026:12:21:17 +0000] "POST /authenticate HTTP/1.1" 200 212
127.0.0.1 - - [25/May/2026:12:21:18 +0000] "GET /api/admin/dashboard HTTP/1.1" 200 248
127.0.0.1 - - [25/May/2026:12:33:02 +0000] "GET /api/distributors/declaration-status HTTP/1.1" 200 75
127.0.0.1 - - [25/May/2026:12:33:02 +0000] "GET /api/distributors/dashboard HTTP/1.1" 200 205
127.0.0.1 - - [25/May/2026:12:33:07 +0000] "OPTIONS /api/distributors/declaration-status HTTP/1.1" 200 -
127.0.0.1 - - [25/May/2026:12:33:10 +0000] "PUT /api/distributors/declaration-status HTTP/1.1" 200 99
127.0.0.1 - - [25/May/2026:12:33:13 +0000] "GET /api/transactions/income?filterColumn=Type&filterOperator=not&filterValue=Payout HTTP/1.1" 200 230
127.0.0.1 - - [25/May/2026:12:33:33 +0000] "GET /api/ui/nav/categories HTTP/1.1" 200 64
127.0.0.1 - - [25/May/2026:12:33:33 +0000] "GET /api/brands HTTP/1.1" 200 159
127.0.0.1 - - [25/May/2026:12:33:34 +0000] "GET /api/ui/featured HTTP/1.1" 200 62
127.0.0.1 - - [25/May/2026:12:33:55 +0000] "OPTIONS /authenticate HTTP/1.1" 200 -
127.0.0.1 - - [25/May/2026:12:33:56 +0000] "POST /authenticate HTTP/1.1" 400 93
127.0.0.1 - - [25/May/2026:12:34:01 +0000] "OPTIONS /authenticate HTTP/1.1" 200 -
127.0.0.1 - - [25/May/2026:12:34:02 +0000] "POST /authenticate HTTP/1.1" 200 181
127.0.0.1 - - [25/May/2026:12:34:03 +0000] "GET /api/admin/dashboard HTTP/1.1" 200 172
127.0.0.1 - - [25/May/2026:12:34:20 +0000] "GET /api/ui/nav/categories HTTP/1.1" 200 64
127.0.0.1 - - [25/May/2026:12:34:20 +0000] "GET /api/carts/count HTTP/1.1" 200 61
127.0.0.1 - - [25/May/2026:12:34:20 +0000] "GET /api/ui/featured HTTP/1.1" 200 62
127.0.0.1 - - [25/May/2026:12:34:21 +0000] "GET /api/brands HTTP/1.1" 200 159
127.0.0.1 - - [25/May/2026:12:34:27 +0000] "GET /api/admin/dashboard HTTP/1.1" 401 155
127.0.0.1 - - [25/May/2026:12:34:37 +0000] "GET /api/brands HTTP/1.1" 200 159
127.0.0.1 - - [25/May/2026:12:34:37 +0000] "GET /api/ui/featured HTTP/1.1" 200 62
